Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
24,62094907;26,85497685;27,85509259;23,71354167;23,97555041;25,35219907;2;;;;;;;;;
26,85497685;27,85509259;23,71354167;23,97555041;25,35219907;26,43391204;7;;;;;;;;;
27,85509259;23,71354167;23,97555041;25,35219907;26,43391204;27,56909722;6;;;;;;;;;
23,71354167;23,97555041;25,35219907;26,43391204;27,56909722;21,8900463;2;;;;;;;;;
23,97555041;25,35219907;26,43391204;27,56909722;21,8900463;23,54895833;4;;;;;;;;;
25,35219907;26,43391204;27,56909722;21,8900463;23,54895833;24,62858796;4;;;;;;;;;
26,43391204;27,56909722;21,8900463;23,54895833;24,62858796;24,69606481;3;;;;;;;;;
27,56909722;21,8900463;23,54895833;24,62858796;24,69606481;25,26477404;3;;;;;;;;;
21,8900463;23,54895833;24,62858796;24,69606481;25,26477404;22,16608796;4;;;;;;;;;
23,54895833;24,62858796;24,69606481;25,26477404;22,16608796;20,75185185;6;;;;;;;;;
24,62858796;24,69606481;25,26477404;22,16608796;20,75185185;21,49860465;4;;;;;;;;;
24,69606481;25,26477404;22,16608796;20,75185185;21,49860465;23,01527778;4;;;;;;;;;
25,26477404;22,16608796;20,75185185;21,49860465;23,01527778;25,16319444;2;;;;;;;;;
22,16608796;20,75185185;21,49860465;23,01527778;25,16319444;26,59618056;2;;;;;;;;;
20,75185185;21,49860465;23,01527778;25,16319444;26,59618056;26,2412037;2;;;;;;;;;
21,49860465;23,01527778;25,16319444;26,59618056;26,2412037;25,15555556;2;;;;;;;;;
23,01527778;25,16319444;26,59618056;26,2412037;25,15555556;24,26597222;1;;;;;;;;;
25,16319444;26,59618056;26,2412037;25,15555556;24,26597222;24,24878331;3;;;;;;;;;
26,59618056;26,2412037;25,15555556;24,26597222;24,24878331;23,334375;3;;;;;;;;;
26,2412037;25,15555556;24,26597222;24,24878331;23,334375;24,74074074;2;;;;;;;;;
25,15555556;24,26597222;24,24878331;23,334375;24,74074074;23,53564815;3;;;;;;;;;
24,26597222;24,24878331;23,334375;24,74074074;23,53564815;23,790625;1;;;;;;;;;
24,24878331;23,334375;24,74074074;23,53564815;23,790625;24,82569444;1;;;;;;;;;
23,334375;24,74074074;23,53564815;23,790625;24,82569444;25,47152778;3;;;;;;;;;
24,74074074;23,53564815;23,790625;24,82569444;25,47152778;25,29513889;2;;;;;;;;;
23,53564815;23,790625;24,82569444;25,47152778;25,29513889;25,91203704;4;;;;;;;;;
23,790625;24,82569444;25,47152778;25,29513889;25,91203704;26,62094907;3;;;;;;;;;
24,82569444;25,47152778;25,29513889;25,91203704;26,62094907;26,67858796;1;;;;;;;;;
25,47152778;25,29513889;25,91203704;26,62094907;26,67858796;22,81064815;4;;;;;;;;;
25,29513889;25,91203704;26,62094907;26,67858796;22,81064815;25,05289352;2;;;;;;;;;
25,91203704;26,62094907;26,67858796;22,81064815;25,05289352;25,63198146;1;;;;;;;;;
26,62094907;26,67858796;22,81064815;25,05289352;25,63198146;26,49282407;3;;;;;;;;;
26,67858796;22,81064815;25,05289352;25,63198146;26,49282407;26,565625;3;;;;;;;;;
22,81064815;25,05289352;25,63198146;26,49282407;26,565625;26,01516204;2;;;;;;;;;
25,05289352;25,63198146;26,49282407;26,565625;26,01516204;25,92696759;5;;;;;;;;;
25,63198146;26,49282407;26,565625;26,01516204;25,92696759;23,94907407;8;;;;;;;;;
26,49282407;26,565625;26,01516204;25,92696759;23,94907407;23,52618772;6;;;;;;;;;
26,565625;26,01516204;25,92696759;23,94907407;23,52618772;25,15702671;3;;;;;;;;;
26,01516204;25,92696759;23,94907407;23,52618772;25,15702671;25,61747685;4;;;;;;;;;
25,92696759;23,94907407;23,52618772;25,15702671;25,61747685;25,49594438;5;;;;;;;;;
23,94907407;23,52618772;25,15702671;25,61747685;25,49594438;26,03499421;3;;;;;;;;;
23,52618772;25,15702671;25,61747685;25,49594438;26,03499421;25,74456019;6;;;;;;;;;
25,15702671;25,61747685;25,49594438;26,03499421;25,74456019;25,63793503;4;;;;;;;;;
25,61747685;25,49594438;26,03499421;25,74456019;25,63793503;25,25538818;4;;;;;;;;;
25,49594438;26,03499421;25,74456019;25,63793503;25,25538818;21,61877173;5;;;;;;;;;
26,03499421;25,74456019;25,63793503;25,25538818;21,61877173;20,37372685;3;;;;;;;;;
25,74456019;25,63793503;25,25538818;21,61877173;20,37372685;19,80220674;5;;;;;;;;;
25,63793503;25,25538818;21,61877173;20,37372685;19,80220674;19,396292;4;;;;;;;;;
25,25538818;21,61877173;20,37372685;19,80220674;19,396292;21,44495944;6;;;;;;;;;
21,61877173;20,37372685;19,80220674;19,396292;21,44495944;21,09328704;3;;;;;;;;;
20,37372685;19,80220674;19,396292;21,44495944;21,09328704;18,24560185;6;;;;;;;;;
19,80220674;19,396292;21,44495944;21,09328704;18,24560185;18,45767442;1;;;;;;;;;
19,396292;21,44495944;21,09328704;18,24560185;18,45767442;18,89455388;5;;;;;;;;;
21,44495944;21,09328704;18,24560185;18,45767442;18,89455388;19,64912689;3;;;;;;;;;
21,09328704;18,24560185;18,45767442;18,89455388;19,64912689;18,921875;4;;;;;;;;;
18,24560185;18,45767442;18,89455388;19,64912689;18,921875;19,38599537;3;;;;;;;;;
18,45767442;18,89455388;19,64912689;18,921875;19,38599537;19,59791667;4;;;;;;;;;
18,89455388;19,64912689;18,921875;19,38599537;19,59791667;19,5224537;3;;;;;;;;;
19,64912689;18,921875;19,38599537;19,59791667;19,5224537;19,95607477;6;;;;;;;;;
18,921875;19,38599537;19,59791667;19,5224537;19,95607477;20,06500579;7;;;;;;;;;
19,38599537;19,59791667;19,5224537;19,95607477;20,06500579;18,99594438;5;;;;;;;;;
19,59791667;19,5224537;19,95607477;20,06500579;18,99594438;19,03252315;2;;;;;;;;;
19,5224537;19,95607477;20,06500579;18,99594438;19,03252315;18,74350877;4;;;;;;;;;
19,95607477;20,06500579;18,99594438;19,03252315;18,74350877;17,41981132;5;;;;;;;;;
20,06500579;18,99594438;19,03252315;18,74350877;17,41981132;15,54227642;2;;;;;;;;;
18,99594438;19,03252315;18,74350877;17,41981132;15,54227642;13,43990499;3;;;;;;;;;
19,03252315;18,74350877;17,41981132;15,54227642;13,43990499;13,91666667;2;;;;;;;;;
18,74350877;17,41981132;15,54227642;13,43990499;13,91666667;13,97395833;6;;;;;;;;;
17,41981132;15,54227642;13,43990499;13,91666667;13,97395833;13,16183295;3;;;;;;;;;
15,54227642;13,43990499;13,91666667;13,97395833;13,16183295;11,48824912;4;;;;;;;;;
13,43990499;13,91666667;13,97395833;13,16183295;11,48824912;11,0661597;1;;;;;;;;;
13,91666667;13,97395833;13,16183295;11,48824912;11,0661597;10,37719715;3;;;;;;;;;
13,97395833;13,16183295;11,48824912;11,0661597;10,37719715;10,12373494;3;;;;;;;;;
13,16183295;11,48824912;11,0661597;10,37719715;10,12373494;9,967252196;6;;;;;;;;;
11,48824912;11,0661597;10,37719715;10,12373494;9,967252196;12,1020979;6;;;;;;;;;
11,0661597;10,37719715;10,12373494;9,967252196;12,1020979;14,8300464;7;;;;;;;;;
10,37719715;10,12373494;9,967252196;12,1020979;14,8300464;14,58;3;;;;;;;;;
10,12373494;9,967252196;12,1020979;14,8300464;14,58;14,85158637;13;;;;;;;;;
