COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
4;47,68736111;49,18486111;48,46267409;49,55146036;54,78916667;46,68541667;;;;;;;;
2;49,18486111;48,46267409;49,55146036;54,78916667;46,68541667;39,47333333;;;;;;;;
4;48,46267409;49,55146036;54,78916667;46,68541667;39,47333333;41,35083333;;;;;;;;
6;49,55146036;54,78916667;46,68541667;39,47333333;41,35083333;43,90472879;;;;;;;;
3;54,78916667;46,68541667;39,47333333;41,35083333;43,90472879;47,05805556;;;;;;;;
4;46,68541667;39,47333333;41,35083333;43,90472879;47,05805556;45,69541667;;;;;;;;
6;39,47333333;41,35083333;43,90472879;47,05805556;45,69541667;47,80486111;;;;;;;;
2;41,35083333;43,90472879;47,05805556;45,69541667;47,80486111;48,57722222;;;;;;;;
3;43,90472879;47,05805556;45,69541667;47,80486111;48,57722222;36,83791667;;;;;;;;
1;47,05805556;45,69541667;47,80486111;48,57722222;36,83791667;40,105;;;;;;;;
1;45,69541667;47,80486111;48,57722222;36,83791667;40,105;45,61208333;;;;;;;;
5;47,80486111;48,57722222;36,83791667;40,105;45,61208333;47,70208333;;;;;;;;
2;48,57722222;36,83791667;40,105;45,61208333;47,70208333;40,18875;;;;;;;;
4;36,83791667;40,105;45,61208333;47,70208333;40,18875;40,75666667;;;;;;;;
2;40,105;45,61208333;47,70208333;40,18875;40,75666667;39,50208623;;;;;;;;
3;45,61208333;47,70208333;40,18875;40,75666667;39,50208623;46,20055556;;;;;;;;
2;47,70208333;40,18875;40,75666667;39,50208623;46,20055556;61,52517385;;;;;;;;
4;40,18875;40,75666667;39,50208623;46,20055556;61,52517385;43,47611111;;;;;;;;
3;40,75666667;39,50208623;46,20055556;61,52517385;43,47611111;50,45875;;;;;;;;
2;39,50208623;46,20055556;61,52517385;43,47611111;50,45875;54,59040334;;;;;;;;
2;46,20055556;61,52517385;43,47611111;50,45875;54,59040334;54,09972184;;;;;;;;
0;61,52517385;43,47611111;50,45875;54,59040334;54,09972184;58,55208333;;;;;;;;
1;43,47611111;50,45875;54,59040334;54,09972184;58,55208333;52,22361111;;;;;;;;
4;50,45875;54,59040334;54,09972184;58,55208333;52,22361111;68,69944367;;;;;;;;
0;54,59040334;54,09972184;58,55208333;52,22361111;68,69944367;65,52736111;;;;;;;;
4;54,09972184;58,55208333;52,22361111;68,69944367;65,52736111;55,25847222;;;;;;;;
3;58,55208333;52,22361111;68,69944367;65,52736111;55,25847222;54,17236111;;;;;;;;
4;52,22361111;68,69944367;65,52736111;55,25847222;54,17236111;51,90666667;;;;;;;;
9;68,69944367;65,52736111;55,25847222;54,17236111;51,90666667;45,81738526;;;;;;;;
1;65,52736111;55,25847222;54,17236111;51,90666667;45,81738526;43,68763889;;;;;;;;
1;55,25847222;54,17236111;51,90666667;45,81738526;43,68763889;43,07625;;;;;;;;
3;54,17236111;51,90666667;45,81738526;43,68763889;43,07625;48,21347222;;;;;;;;
3;51,90666667;45,81738526;43,68763889;43,07625;48,21347222;82,13583333;;;;;;;;
2;45,81738526;43,68763889;43,07625;48,21347222;82,13583333;55,52225352;;;;;;;;
1;43,68763889;43,07625;48,21347222;82,13583333;55,52225352;44,37949438;;;;;;;;
2;43,07625;48,21347222;82,13583333;55,52225352;44,37949438;41,61983122;;;;;;;;
2;48,21347222;82,13583333;55,52225352;44,37949438;41,61983122;56,34678112;;;;;;;;
1;82,13583333;55,52225352;44,37949438;41,61983122;56,34678112;67,78786611;;;;;;;;
4;55,52225352;44,37949438;41,61983122;56,34678112;67,78786611;71,30763889;;;;;;;;
2;44,37949438;41,61983122;56,34678112;67,78786611;71,30763889;58,15819209;;;;;;;;
1;41,61983122;56,34678112;67,78786611;71,30763889;58,15819209;65,24050633;;;;;;;;
0;56,34678112;67,78786611;71,30763889;58,15819209;65,24050633;67,26011236;;;;;;;;
4;67,78786611;71,30763889;58,15819209;65,24050633;67,26011236;55,22663877;;;;;;;;
0;71,30763889;58,15819209;65,24050633;67,26011236;55,22663877;61,15730337;;;;;;;;
4;58,15819209;65,24050633;67,26011236;55,22663877;61,15730337;49,50154712;;;;;;;;
1;65,24050633;67,26011236;55,22663877;61,15730337;49,50154712;64,13061798;;;;;;;;
4;67,26011236;55,22663877;61,15730337;49,50154712;64,13061798;91,66624473;;;;;;;;
4;55,22663877;61,15730337;49,50154712;64,13061798;91,66624473;76,99268636;;;;;;;;
2;61,15730337;49,50154712;64,13061798;91,66624473;76,99268636;64,51265647;;;;;;;;
3;49,50154712;64,13061798;91,66624473;76,99268636;64,51265647;59,39340029;;;;;;;;
4;64,13061798;91,66624473;76,99268636;64,51265647;59,39340029;55,65381295;;;;;;;;
1;91,66624473;76,99268636;64,51265647;59,39340029;55,65381295;56,54388186;;;;;;;;
0;76,99268636;64,51265647;59,39340029;55,65381295;56,54388186;51,9710084;;;;;;;;
1;64,51265647;59,39340029;55,65381295;56,54388186;51,9710084;42,01008523;;;;;;;;
2;59,39340029;55,65381295;56,54388186;51,9710084;42,01008523;50,56634214;;;;;;;;
4;55,65381295;56,54388186;51,9710084;42,01008523;50,56634214;59,76399437;;;;;;;;
2;56,54388186;51,9710084;42,01008523;50,56634214;59,76399437;55,25133615;;;;;;;;
0;51,9710084;42,01008523;50,56634214;59,76399437;55,25133615;55,78152778;;;;;;;;
5;42,01008523;50,56634214;59,76399437;55,25133615;55,78152778;59,0975;;;;;;;;
2;50,56634214;59,76399437;55,25133615;55,78152778;59,0975;43,4375;;;;;;;;
4;59,76399437;55,25133615;55,78152778;59,0975;43,4375;46,29305556;;;;;;;;
3;55,25133615;55,78152778;59,0975;43,4375;46,29305556;46,66119611;;;;;;;;
5;55,78152778;59,0975;43,4375;46,29305556;46,66119611;46,19888889;;;;;;;;
1;59,0975;43,4375;46,29305556;46,66119611;46,19888889;42,84916667;;;;;;;;
2;43,4375;46,29305556;46,66119611;46,19888889;42,84916667;51,7875;;;;;;;;
2;46,29305556;46,66119611;46,19888889;42,84916667;51,7875;54,78805556;;;;;;;;
1;46,66119611;46,19888889;42,84916667;51,7875;54,78805556;79,77541667;;;;;;;;
2;46,19888889;42,84916667;51,7875;54,78805556;79,77541667;82,64166667;;;;;;;;
2;42,84916667;51,7875;54,78805556;79,77541667;82,64166667;60,69986111;;;;;;;;
5;51,7875;54,78805556;79,77541667;82,64166667;60,69986111;80,13986111;;;;;;;;
6;54,78805556;79,77541667;82,64166667;60,69986111;80,13986111;74,07277778;;;;;;;;
3;79,77541667;82,64166667;60,69986111;80,13986111;74,07277778;59,7625;;;;;;;;
4;82,64166667;60,69986111;80,13986111;74,07277778;59,7625;56,13291667;;;;;;;;
3;60,69986111;80,13986111;74,07277778;59,7625;56,13291667;46,44527778;;;;;;;;
3;80,13986111;74,07277778;59,7625;56,13291667;46,44527778;53,53059805;;;;;;;;
6;74,07277778;59,7625;56,13291667;46,44527778;53,53059805;54,93902778;;;;;;;;
3;59,7625;56,13291667;46,44527778;53,53059805;54,93902778;81,29527778;;;;;;;;
3;56,13291667;46,44527778;53,53059805;54,93902778;81,29527778;66,06583333;;;;;;;;
4;46,44527778;53,53059805;54,93902778;81,29527778;66,06583333;56,46555556;;;;;;;;
5;53,53059805;54,93902778;81,29527778;66,06583333;56,46555556;57,67958333;;;;;;;;
4;54,93902778;81,29527778;66,06583333;56,46555556;57,67958333;64,31557719;;;;;;;;
3;81,29527778;66,06583333;56,46555556;57,67958333;64,31557719;49,26194444;;;;;;;;
4;66,06583333;56,46555556;57,67958333;64,31557719;49,26194444;50,44388889;;;;;;;;
8;56,46555556;57,67958333;64,31557719;49,26194444;50,44388889;48,86180556;;;;;;;;
2;57,67958333;64,31557719;49,26194444;50,44388889;48,86180556;50,90598053;;;;;;;;
3;64,31557719;49,26194444;50,44388889;48,86180556;50,90598053;72,01083333;;;;;;;;
5;49,26194444;50,44388889;48,86180556;50,90598053;72,01083333;89,81166667;;;;;;;;
1;50,44388889;48,86180556;50,90598053;72,01083333;89,81166667;86,97069444;;;;;;;;
4;48,86180556;50,90598053;72,01083333;89,81166667;86,97069444;75,89402778;;;;;;;;
3;50,90598053;72,01083333;89,81166667;86,97069444;75,89402778;91,96458333;;;;;;;;
9;72,01083333;89,81166667;86,97069444;75,89402778;91,96458333;82,49527121;;;;;;;;
4;89,81166667;86,97069444;75,89402778;91,96458333;82,49527121;68,01888889;;;;;;;;
2;86,97069444;75,89402778;91,96458333;82,49527121;68,01888889;72,13041667;;;;;;;;
4;75,89402778;91,96458333;82,49527121;68,01888889;72,13041667;74,07944444;;;;;;;;
4;91,96458333;82,49527121;68,01888889;72,13041667;74,07944444;68,54013889;;;;;;;;
6;82,49527121;68,01888889;72,13041667;74,07944444;68,54013889;72,50668524;;;;;;;;
3;68,01888889;72,13041667;74,07944444;68,54013889;72,50668524;96,8627095;;;;;;;;
8;72,13041667;74,07944444;68,54013889;72,50668524;96,8627095;92,23972222;;;;;;;;
6;74,07944444;68,54013889;72,50668524;96,8627095;92,23972222;87,35125;;;;;;;;
7;68,54013889;72,50668524;96,8627095;92,23972222;87,35125;79,35513889;;;;;;;;
5;72,50668524;96,8627095;92,23972222;87,35125;79,35513889;78,06180556;;;;;;;;
5;96,8627095;92,23972222;87,35125;79,35513889;78,06180556;90,21625;;;;;;;;
2;92,23972222;87,35125;79,35513889;78,06180556;90,21625;80,49583333;;;;;;;;
2;87,35125;79,35513889;78,06180556;90,21625;80,49583333;71,18263889;;;;;;;;
3;79,35513889;78,06180556;90,21625;80,49583333;71,18263889;69,62180556;;;;;;;;
7;78,06180556;90,21625;80,49583333;71,18263889;69,62180556;65,58888889;;;;;;;;
1;90,21625;80,49583333;71,18263889;69,62180556;65,58888889;67,94680556;;;;;;;;
4;80,49583333;71,18263889;69,62180556;65,58888889;67,94680556;73,14208333;;;;;;;;
3;71,18263889;69,62180556;65,58888889;67,94680556;73,14208333;78,55236111;;;;;;;;
6;69,62180556;65,58888889;67,94680556;73,14208333;78,55236111;86,17236111;;;;;;;;
2;65,58888889;67,94680556;73,14208333;78,55236111;86,17236111;84,29833333;;;;;;;;
2;67,94680556;73,14208333;78,55236111;86,17236111;84,29833333;93,07138889;;;;;;;;
1;73,14208333;78,55236111;86,17236111;84,29833333;93,07138889;94,47666667;;;;;;;;
6;78,55236111;86,17236111;84,29833333;93,07138889;94,47666667;83,68152778;;;;;;;;
5;86,17236111;84,29833333;93,07138889;94,47666667;83,68152778;72,58805556;;;;;;;;
5;84,29833333;93,07138889;94,47666667;83,68152778;72,58805556;67,97746871;;;;;;;;
4;93,07138889;94,47666667;83,68152778;72,58805556;67,97746871;68,95736111;;;;;;;;
2;94,47666667;83,68152778;72,58805556;67,97746871;68,95736111;79,27319444;;;;;;;;
